timestep,demand_el,pv,wind,demand_heat
220,222030.9586166,0.0,0.99583,343800.51470354904
221,217558.6780982,0.0,0.99524,381127.42772850575
222,211129.4863932,0.0,0.99513,408631.4689047896
223,200574.1659127,0.0,0.99542,467568.69999682665
224,203860.299792,0.0,0.99524,517665.3464250579
225,215638.6897642,0.0,0.99536,520612.20797965984
226,229595.5280384,0.072382,0.99505,436135.5100810736
227,238826.2411827,0.18447,0.99442,287810.14516611386
228,251066.166812,0.22796,0.99288,157165.94957876523
229,251735.393515,0.2106,0.99092,99535.983780949
230,242818.5246176,0.1762,0.98967,97564.97420112824
231,236573.9471755,0.11512,0.9885,107420.02210023208
232,234847.8038175,0.044413,0.98409,151767.73764619947
233,239763.1585668,0.0,0.97846,305506.4848722197
234,261321.4891153,0.0,0.9732,682954.8194078977
235,272873.7266154,0.0,0.96894,876113.7582303333
236,271350.6589466,0.0,0.95932,711534.4583152987
237,261012.260225,0.0,0.95192,589331.8643664109
238,254583.06852,0.0,0.93421,589331.8643664109
239,258949.1958373,0.0,0.90943,470085.7847872542
240,248361.5678607,0.0,0.86199,468114.7752074334
241,237829.3241631,0.0,0.79485,434607.6123504803
242,228506.3038873,0.0,0.68538,378433.83932558825
243,224315.5601198,0.0,0.59208,357738.2387374702
244,222017.1125469,0.0,0.50701,344926.6764686352
245,224380.1751118,0.0,0.43518,382375.8584852298
246,234764.7273992,0.0,0.36519,409969.9926027206
247,263486.0913477,0.0,0.34052,469100.27999734384
248,292812.0670072,0.0,0.38449,519361.02428277343
249,305042.7619234,0.0,0.50811,522317.5386525048
250,308878.1232348,0.074326,0.64962,437564.1267202115
251,312902.7141657,0.17006,0.76382,288752.90344374307
252,317988.8371083,0.18191,0.87351,157680.7663856618
253,318602.6795323,0.13116,0.89541,31549.60117496961
254,316262.6937503,0.12365,0.91036,28920.467743722147
255,311587.3375427,0.092392,0.92456,29796.845554137966
256,308730.4318245,0.042049,0.93285,63099.20234993922
257,308531.9714919,0.0,0.94852,170017.2952206696
258,320642.6671372,0.0,0.96455,541601.4868369784
259,325461.0993986,0.0,0.98073,914062.0562637028
260,321842.659846,0.0,0.98954,659036.1134326985
261,308573.5097011,0.0,0.99261,533714.0865432359
262,296605.8901095,0.0,0.994,497782.5963161872
263,290615.1572788,0.0,0.99409,413650.32651626825
264,272550.6516554,0.0,0.99296,510051.8856620087
265,257873.8177559,0.0,0.98899,471491.2620037126
266,248186.184311,0.0,0.97863,356685.7688392398
267,242481.6035878,0.0,0.9611,340910.968251755
268,239790.8507062,0.0,0.93708,306732.2336455379
269,241392.3794368,0.0,0.9057,353180.2575975765
270,250480.0165274,0.0,0.8716,453087.3279849803
271,280784.4477801,0.0,0.84736,441694.4164495746
272,312016.5657039,0.0,0.85063,460974.7282787227
273,321759.5834277,0.0,0.87132,465356.6173308018
274,321787.2755671,0.076031,0.89753,411021.1930850208
275,323236.4975308,0.19581,0.92378,213836.18574146077
276,324118.0306361,0.25131,0.94872,95525.18133532464
277,325207.2547871,0.24616,0.954,28191.13495798441
278,322848.8075787,0.20346,0.95478,25841.873711485707
279,318833.447361,0.13178,0.95506,26624.96079365194
280,316918.0743835,0.051561,0.95434,56382.26991596882
281,318118.0670923,0.0,0.95222,151918.8939402493
282,332462.5953185,0.0,0.94683,483947.8167787324
283,337521.0261216,0.0,0.93765,816759.8266993816
284,333039.51489,0.0,0.9268,588881.4857890077
285,318118.0670923,0.0,0.92163,476900.03303923627
286,306118.1400047,0.0,0.9228,444793.4626704208
287,297215.117177,0.0,0.93281,369617.1027824623
288,279658.3007765,0.0,0.94648,455756.681820748
289,266347.6124224,0.0,0.9555,421300.8502054337
290,257592.281005,0.0,0.96096,318716.44244165707
291,250849.2450531,0.0,0.96759,304620.87496266485
292,246833.8848354,0.0,0.97131,274080.4787581818
293,249510.7916472,0.0,0.97032,315584.09411299217
294,258616.8901641,0.0,0.96457,404856.0214799429
295,286955.1795171,0.0,0.95566,394675.8894117818
296,318348.8349209,0.0,0.94793,411903.80521943886
297,328581.0804413,0.0,0.94044,415819.2406302701
298,328179.5444196,0.078986,0.92875,367267.8415359636
299,330750.2980303,0.17921,0.92272,191073.248048561
300,332693.3631471,0.1955,0.91626,85356.49195611947
301,331045.6808509,0.14795,0.89946,28124.088137021547
302,330224.147381,0.13245,0.8804,25780.414125603085
303,326628.7846113,0.094354,0.84715,26561.63879607591
304,324856.4876876,0.04193,0.84519,56248.17627404309
305,324708.7962773,0.0,0.83288,151557.58607172724
306,337534.8721913,0.0,0.81552,482796.8463522033
307,341499.4634868,0.0,0.78685,814817.331303152
308,335721.0370585,0.0,0.74896,587480.9521955613
309,318127.2978054,0.0,0.71534,475765.8243179479
310,304170.4595312,0.0,0.67863,443735.6128285622
311,296481.275482,0.0,0.6399,368738.04446317145
312,279436.7636611,0.0,0.58711,454672.7582151817
313,259318.424363,0.0,0.5171,420298.8727143776
314,249496.9455775,0.0,0.44995,317958.4408824381
