timestep,heat_demand,electricity_demand,PV,COP_AIR-HP,electricity_price_buy,electricity_price_sell
339,3.84623157,0.150109874,0,1.912660938,0.165658068,-0.062608068
340,4.154579249,0.146124656,0,1.924690252,0.164765771,-0.061715771
341,5.225681712,0.14849681,0,1.92166876,0.156963361,-0.053913361
342,7.546403714,0.177911513,0,1.912660938,0.162379395,-0.059329395
343,9.31534566,0.201538162,0,1.91865674,0.191410172,-0.088360172
344,8.812252079,0.189772281,0.002953816,1.92772126,0.204545612,-0.101495612
345,8.438989099,0.50669199,0.049980901,1.93076183,0.211372721,-0.108322721
346,7.968353169,0.4675989,0.123700348,1.952317384,0.21419487,-0.11114487
347,7.513946064,0.441125667,0.324386664,1.977549273,0.210376669,-0.107326669
348,7.286742511,0.449096103,0.187375607,2.000168301,0.207181001,-0.104131001
349,7.124454259,0.496064742,0.177211652,2.010021346,0.204939883,-0.101889883
350,7.205598385,0.629379769,0.141769318,2.053864094,0.203674067,-0.100624067
351,7.351657812,0.516655035,0.131895691,2.053864094,0.202262992,-0.099212992
352,7.62754784,0.397857587,0.037733724,2.026660596,0.201204687,-0.098154687
353,7.854751393,0.399375765,0.002917404,2.003441899,0.198880565,-0.095830565
354,8.163099071,0.488284079,0,1.964852327,0.204919132,-0.101869132
355,8.244243197,0.630708175,0,1.9585648,0.189231307,-0.086181307
356,8.195556722,0.709938103,0,1.936871835,0.181719412,-0.078669412
357,7.757378441,0.652626874,0,1.92772126,0.176718399,-0.073668399
358,6.81610658,0.514377767,0,1.900781056,0.175909107,-0.072859107
359,4.738816956,0.442833617,0,1.894896285,0.175348827,-0.072298827
360,3.797545095,0.327926501,0,1.886137134,0.159536496,-0.056486496
361,4.002039662,0.221274479,0,1.871717125,0.153705439,-0.050655439
362,4.091771493,0.163678592,0,1.851895613,0.153767693,-0.050717693
363,4.253288789,0.150109874,0,1.840756391,0.160781561,-0.057731561
364,4.594269747,0.150679191,0,1.837992492,0.160304286,-0.057254286
365,5.778729916,0.146978632,0,1.835236882,0.161653107,-0.058603107
366,8.345060282,0.177911513,0,1.829750374,0.161985125,-0.058935125
367,10.3012142,0.341874764,0,1.813485926,0.189812338,-0.086762338
368,9.744876845,0.491130663,0,1.813485926,0.20469087,-0.10164087
369,9.332110423,0.50669199,0.115671694,1.818875186,0.208695831,-0.105645831
370,8.811665803,0.4675989,0.14505182,1.840756391,0.204753123,-0.101703123
371,8.309167549,0.561156635,0.261074127,1.851895613,0.205562416,-0.102512416
372,8.057918423,0.769621485,0.182983519,1.868859542,0.207014992,-0.103964992
373,7.878454761,0.496064742,0.09366967,1.93076183,0.204379604,-0.101329604
374,7.968186592,0.491415321,0.20172345,1.964852327,0.202387499,-0.099337499
